Date,Close,Rate,,FV,PV,,,Date,Close,FV,PV,,,,,,,,
20-Jul-23,19979.15,0.736141258,,1.149052888,-1,,,29-07-2013,5831.649902,1.263296001,-1,,,,,,,,
21-Jul-23,19745,-1.171971781,,1.162679159,-1,,,30-07-2013,5755.049805,1.280110555,-1,,,,,,,,
24-Jul-23,19672.35,-0.367941251,,1.166972934,-1,,,31-07-2013,5742,1.283019854,-1,,,,,,,,
25-Jul-23,19680.6,0.041937033,,1.166483745,-1,,,01-08-2013,5727.850098,1.286189386,-1,,,,,,,,
26-Jul-23,19778.3,0.496427954,,1.160721599,-1,,,02-08-2013,5677.899902,1.297504381,-1,,,,,,,,
27-Jul-23,19659.9,-0.598635879,,1.167711942,-1,,,05-08-2013,5685.399902,1.295792755,-1,,,,,,,,
28-Jul-23,19646.05,-0.070447968,,1.168535151,-1,,,06-08-2013,5542.25,1.329261581,-1,,,,,,,,
31-Jul-23,19753.8,0.548456305,,1.162161204,-1,,,07-08-2013,5519.100098,1.334837178,-1,,,,,,,,
01-Aug-23,19733.55,-0.102511922,,1.163353781,-1,,,08-08-2013,5565.649902,1.32367291,-1,,,,,,,,
02-Aug-23,19526.55,-1.048974969,,1.175686437,-1,,,12-08-2013,5612.399902,1.312647019,-1,,,,,,,,
03-Aug-23,19381.65,-0.742066571,,1.184476038,-1,,,13-08-2013,5699.299805,1.292632473,-1,,,,,,,,
04-Aug-23,19517,0.698340957,,1.176261721,-1,,,14-08-2013,5742.299805,1.282952867,-1,,,,,,,,
07-Aug-23,19597.3,0.411436184,,1.171441984,-1,,,16-08-2013,5507.850098,1.337563635,-1,,,,,,,,
08-Aug-23,19570.85,-0.134967572,,1.173025188,-1,,,19-08-2013,5414.75,1.360561429,-1,,,,,,,,
09-Aug-23,19632.55,0.315264794,,1.169338675,-1,,,20-08-2013,5401.450195,1.363911493,-1,,,,,,,,
10-Aug-23,19543.1,-0.455620895,,1.174690812,-1,,,21-08-2013,5302.549805,1.389350458,-1,,,,,,,,
11-Aug-23,19428.3,-0.587419601,,1.181631949,-1,,,22-08-2013,5408.450195,1.362146222,-1,,,,,,,,
14-Aug-23,19434.55,0.032169567,,1.181251946,-1,,,23-08-2013,5471.75,1.346388267,-1,,,,,,,,
16-Aug-23,19465,0.156679728,,1.179404059,-1,,,26-08-2013,5476.5,1.345220488,-1,,,,,,,,
17-Aug-23,19365.25,-0.512458258,,1.185479144,-1,,,27-08-2013,5287.450195,1.393318089,-1,,,,,,,,
18-Aug-23,19310.15,-0.28453028,,1.188861816,-1,,,28-08-2013,5285,1.393964049,-1,,,,,,,,
21-Aug-23,19393.6,0.432156146,,1.183746184,-1,,,29-08-2013,5409.049805,1.361995224,-1,,,,,,,,
22-Aug-23,19396.45,0.01469557,,1.183572252,-1,,,30-08-2013,5471.799805,1.346376012,-1,,,,,,,,
23-Aug-23,19444,0.245147952,,1.180677844,-1,,,02-09-2013,5550.75,1.327226051,-1,,,,,,,,
24-Aug-23,19386.7,-0.29469245,,1.184167496,-1,,,03-09-2013,5341.450195,1.379232181,-1,,,,,,,,
25-Aug-23,19265.8,-0.623623412,,1.191598584,-1,,,04-09-2013,5448.100098,1.352232864,-1,,,,,,,,
28-Aug-23,19306.05,0.208919432,,1.189114293,-1,,,05-09-2013,5592.950195,1.317211801,-1,,,,,,,,
29-Aug-23,19342.65,0.189577878,,1.186864261,-1,,,06-09-2013,5680.399902,1.296933337,-1,,,,,,,,
30-Aug-23,19347.45,0.024815628,,1.186569806,-1,,,10-09-2013,5896.75,1.249349218,-1,,,,,,,,
31-Aug-23,19253.8,-0.484043117,,1.192341252,-1,,,11-09-2013,5913.149902,1.245884194,-1,,,,,,,,
01-Sep-23,19435.3,0.942671057,,1.181206362,-1,,,12-09-2013,5850.700195,1.25918262,-1,,,,,,,,
04-Sep-23,19528.8,0.48108339,,1.175550981,-1,,,13-09-2013,5850.600098,1.259204163,-1,,,,,,,,
05-Sep-23,19574.9,0.236061612,,1.172782492,-1,,,16-09-2013,5840.549805,1.261370975,-1,,,,,,,,
06-Sep-23,19611.05,0.184675273,,1.170620645,-1,,,17-09-2013,5850.200195,1.259290239,-1,,,,,,,,
